"","loci.group_name","loci.value","starts.value","ends.value"
"72","ENST00000622828","CHR_HSCHR16_1_CTG1",16034894,16034914
"73","ENST00000399408","16",15949769,15949789
"74","ENST00000621144","CHR_HSCHR16_1_CTG1",16034855,16034875
"75","ENST00000399410","16",15949691,15949711
"76","ENST00000622828","CHR_HSCHR16_1_CTG1",16034855,16034875
"77","ENST00000399408","16",15949730,15949750
"78","ENST00000621144","CHR_HSCHR16_1_CTG1",16092889,16092909
"79","ENST00000399410","16",16007833,16007853
"80","ENST00000622828","CHR_HSCHR16_1_CTG1",16092889,16092909
"81","ENST00000399408","16",16007872,16007892
"82","ENST00000572882","16",16141300,16141320
"83","ENST00000621144","CHR_HSCHR16_1_CTG1",16226334,16226354
"84","ENST00000399410","16",16141261,16141281
"85","ENST00000622828","CHR_HSCHR16_1_CTG1",16226334,16226354
"86","ENST00000621659","CHR_HSCHR16_1_CTG1",16226334,16226354
"87","ENST00000399408","16",16141300,16141320
"88","ENST00000621144","CHR_HSCHR16_1_CTG1",16034872,16034892
"89","ENST00000399410","16",15949708,15949728
"90","ENST00000622828","CHR_HSCHR16_1_CTG1",16034872,16034892
"91","ENST00000399408","16",15949747,15949767
"92","ENST00000572882","16",16141263,16141283
"93","ENST00000621144","CHR_HSCHR16_1_CTG1",16226297,16226317
"94","ENST00000399410","16",16141224,16141244
"95","ENST00000622828","CHR_HSCHR16_1_CTG1",16226297,16226317
"96","ENST00000621659","CHR_HSCHR16_1_CTG1",16226297,16226317
"97","ENST00000399408","16",16141263,16141283
"98","ENST00000572882","16",16141323,16141343
"99","ENST00000621144","CHR_HSCHR16_1_CTG1",16226357,16226377
"100","ENST00000399410","16",16141284,16141304
"101","ENST00000622828","CHR_HSCHR16_1_CTG1",16226357,16226377
"102","ENST00000621659","CHR_HSCHR16_1_CTG1",16226357,16226377
"103","ENST00000399408","16",16141323,16141343
"104","ENST00000572882","16",16141210,16141230
"105","ENST00000621144","CHR_HSCHR16_1_CTG1",16226244,16226264
"106","ENST00000399410","16",16138557,16138558
"107","ENST00000399410","16",16141172,16141191
"108","ENST00000622828","CHR_HSCHR16_1_CTG1",16226244,16226264
"109","ENST00000621659","CHR_HSCHR16_1_CTG1",16226244,16226264
"110","ENST00000399408","16",16141210,16141230
"111","ENST00000621144","CHR_HSCHR16_1_CTG1",16034820,16034840
"112","ENST00000399410","16",15949656,15949676
"113","ENST00000622828","CHR_HSCHR16_1_CTG1",16034820,16034840
"114","ENST00000399408","16",15949695,15949715
"115","ENST00000572882","16",16086837,16086857
"116","ENST00000621144","CHR_HSCHR16_1_CTG1",16171836,16171856
"117","ENST00000399410","16",16083517,16083537
"118","ENST00000634072","CHR_HSCHR16_1_CTG1",16171836,16171856
"119","ENST00000622828","CHR_HSCHR16_1_CTG1",16171836,16171856
"120","ENST00000621659","CHR_HSCHR16_1_CTG1",16171836,16171856
"121","ENST00000399408","16",16086837,16086857
"122","ENST00000575422","16",16086837,16086857
"123","ENST00000572882","16",16141426,16141446
"124","ENST00000621144","CHR_HSCHR16_1_CTG1",16226460,16226480
"125","ENST00000399410","16",16141387,16141407
"126","ENST00000622828","CHR_HSCHR16_1_CTG1",16226460,16226480
"127","ENST00000621659","CHR_HSCHR16_1_CTG1",16226460,16226480
"128","ENST00000399408","16",16141426,16141446
"129","ENST00000572882","16",16071727,16071729
"130","ENST00000572882","16",16076325,16076343
"131","ENST00000621144","CHR_HSCHR16_1_CTG1",16156760,16156762
"132","ENST00000621144","CHR_HSCHR16_1_CTG1",16161320,16161338
"133","ENST00000399410","16",16071688,16071708
"134","ENST00000622828","CHR_HSCHR16_1_CTG1",16156760,16156762
"135","ENST00000622828","CHR_HSCHR16_1_CTG1",16161320,16161338
"136","ENST00000621659","CHR_HSCHR16_1_CTG1",16156760,16156762
"137","ENST00000621659","CHR_HSCHR16_1_CTG1",16161320,16161338
"138","ENST00000399408","16",16071727,16071729
"139","ENST00000399408","16",16076325,16076343
"140","ENST00000554848","14",104780091,104780109
"141","ENST00000555380","14",104780091,104780109
"142","ENST00000402615","14",104780091,104780109
"143","ENST00000555926","14",104780091,104780109
"144","ENST00000555528","14",104780091,104780109
"145","ENST00000349310","14",104780091,104780109
"146","ENST00000407796","14",104780091,104780109
"147","ENST00000554581","14",104780091,104780109
"148","ENST00000554848","14",104792597,104792608
"149","ENST00000554848","14",104780209,104780216
"150","ENST00000402615","14",104792597,104792608
"151","ENST00000402615","14",104780209,104780216
"152","ENST00000555926","14",104792597,104792608
"153","ENST00000555926","14",104780209,104780216
"154","ENST00000555528","14",104792597,104792608
"155","ENST00000555528","14",104780209,104780216
"156","ENST00000349310","14",104792597,104792608
"157","ENST00000349310","14",104780209,104780216
"158","ENST00000407796","14",104792597,104792608
"159","ENST00000407796","14",104780209,104780216
"160","ENST00000554581","14",104792597,104792608
"161","ENST00000554581","14",104780209,104780216
"162","ENST00000555458","14",104773263,104773281
"163","ENST00000554192","14",104773263,104773281
"164","ENST00000544168","14",104773263,104773281
"165","ENST00000554848","14",104773263,104773281
"166","ENST00000402615","14",104773263,104773281
"167","ENST00000555528","14",104773263,104773281
"168","ENST00000349310","14",104773263,104773281
"169","ENST00000553506","14",104773263,104773281
"170","ENST00000407796","14",104773263,104773281
"171","ENST00000557552","14",104773263,104773281
"172","ENST00000554585","14",104773263,104773281
"173","ENST00000554581","14",104773263,104773281
"174","ENST00000402615","14",104769700,104769718
"175","ENST00000555528","14",104769700,104769718
"176","ENST00000349310","14",104769700,104769718
"177","ENST00000553506","14",104769700,104769718
"178","ENST00000407796","14",104769700,104769718
"179","ENST00000610370","14",104769700,104769718
"180","ENST00000557552","14",104769700,104769718
"181","ENST00000554581","14",104769700,104769718
"182","ENST00000555458","14",104769566,104769584
"183","ENST00000402615","14",104769566,104769584
"184","ENST00000555528","14",104769566,104769584
"185","ENST00000349310","14",104769566,104769584
"186","ENST00000553506","14",104769566,104769584
"187","ENST00000407796","14",104769566,104769584
"188","ENST00000610370","14",104769566,104769584
"189","ENST00000557552","14",104769566,104769584
"190","ENST00000554581","14",104769566,104769584
"191","ENST00000544168","14",104775736,104775754
"192","ENST00000554826","14",104775736,104775754
"193","ENST00000554848","14",104775736,104775754
"194","ENST00000555380","14",104775736,104775754
"195","ENST00000402615","14",104775736,104775754
"196","ENST00000555528","14",104775736,104775754
"197","ENST00000349310","14",104775736,104775754
"198","ENST00000407796","14",104775736,104775754
"199","ENST00000557552","14",104775736,104775754
"200","ENST00000554581","14",104775736,104775754
"201","ENST00000554192","14",104770391,104770409
"202","ENST00000544168","14",104770391,104770409
"203","ENST00000554848","14",104770391,104770409
"204","ENST00000402615","14",104770391,104770409
"205","ENST00000555528","14",104770391,104770409
"206","ENST00000349310","14",104770391,104770409
"207","ENST00000553506","14",104770391,104770409
"208","ENST00000407796","14",104770391,104770409
"209","ENST00000610370","14",104770391,104770409
"210","ENST00000557552","14",104770391,104770409
"211","ENST00000554585","14",104770391,104770409
"212","ENST00000554581","14",104770391,104770409
"213","ENST00000555458","14",104770776,104770794
"214","ENST00000554192","14",104770776,104770794
"215","ENST00000544168","14",104770776,104770794
"216","ENST00000554848","14",104770776,104770794
"217","ENST00000402615","14",104770776,104770794
"218","ENST00000555528","14",104770776,104770794
"219","ENST00000349310","14",104770776,104770794
"220","ENST00000553506","14",104770776,104770794
"221","ENST00000407796","14",104770776,104770794
"222","ENST00000610370","14",104770776,104770794
"223","ENST00000557552","14",104770776,104770794
"224","ENST00000554585","14",104770776,104770794
"225","ENST00000554581","14",104770776,104770794
"226","ENST00000544168","14",104775697,104775715
"227","ENST00000554826","14",104775697,104775715
"228","ENST00000554848","14",104775697,104775715
"229","ENST00000555380","14",104775697,104775715
"230","ENST00000402615","14",104775697,104775715
"231","ENST00000555528","14",104775697,104775715
"232","ENST00000349310","14",104775697,104775715
"233","ENST00000407796","14",104775697,104775715
"234","ENST00000557552","14",104775697,104775715
"235","ENST00000554581","14",104775697,104775715
"236","ENST00000554848","14",104792611,104792629
"237","ENST00000402615","14",104792611,104792629
"238","ENST00000555926","14",104792611,104792629
"239","ENST00000555528","14",104792611,104792629
"240","ENST00000349310","14",104792611,104792629
"241","ENST00000407796","14",104792611,104792629
"242","ENST00000554581","14",104792611,104792629
"243","ENST00000555458","14",104769410,104769428
"244","ENST00000402615","14",104769410,104769428
"245","ENST00000555528","14",104769410,104769428
"246","ENST00000349310","14",104769410,104769428
"247","ENST00000553506","14",104769410,104769428
"248","ENST00000407796","14",104769410,104769428
"249","ENST00000610370","14",104769410,104769428
"250","ENST00000557552","14",104769410,104769428
"251","ENST00000554581","14",104769410,104769428
"252","ENST00000402615","14",104793166,104793184
"253","ENST00000555926","14",104793166,104793184
"254","ENST00000555528","14",104793166,104793184
"255","ENST00000349310","14",104793166,104793184
"256","ENST00000557494","14",104793166,104793184
"257","ENST00000554581","14",104793166,104793184
"258","ENST00000554192","14",104770108,104770126
"259","ENST00000402615","14",104770108,104770126
"260","ENST00000555528","14",104770108,104770126
"261","ENST00000349310","14",104770108,104770126
"262","ENST00000553506","14",104770108,104770126
"263","ENST00000407796","14",104770108,104770126
"264","ENST00000610370","14",104770108,104770126
"265","ENST00000557552","14",104770108,104770126
"266","ENST00000554581","14",104770108,104770126
"267","ENST00000555458","14",104773272,104773290
"268","ENST00000554192","14",104773272,104773290
"269","ENST00000544168","14",104773272,104773290
"270","ENST00000554848","14",104773272,104773290
"271","ENST00000402615","14",104773272,104773290
"272","ENST00000555528","14",104773272,104773290
"273","ENST00000349310","14",104773272,104773290
"274","ENST00000553506","14",104773272,104773290
"275","ENST00000407796","14",104773272,104773290
"276","ENST00000557552","14",104773272,104773290
"277","ENST00000554585","14",104773272,104773290
"278","ENST00000554581","14",104773272,104773290
"279","ENST00000554848","14",104780162,104780180
"280","ENST00000555380","14",104780162,104780180
"281","ENST00000402615","14",104780162,104780180
"282","ENST00000555926","14",104780162,104780180
"283","ENST00000555528","14",104780162,104780180
"284","ENST00000349310","14",104780162,104780180
"285","ENST00000407796","14",104780162,104780180
"286","ENST00000554581","14",104780162,104780180
"287","ENST00000554192","14",104770133,104770151
"288","ENST00000402615","14",104770133,104770151
"289","ENST00000555528","14",104770133,104770151
"290","ENST00000349310","14",104770133,104770151
"291","ENST00000553506","14",104770133,104770151
"292","ENST00000407796","14",104770133,104770151
"293","ENST00000610370","14",104770133,104770151
"294","ENST00000557552","14",104770133,104770151
"295","ENST00000554581","14",104770133,104770151
"296","ENST00000402615","14",104769690,104769708
"297","ENST00000555528","14",104769690,104769708
"298","ENST00000349310","14",104769690,104769708
"299","ENST00000553506","14",104769690,104769708
"300","ENST00000407796","14",104769690,104769708
"301","ENST00000610370","14",104769690,104769708
"302","ENST00000557552","14",104769690,104769708
"303","ENST00000554581","14",104769690,104769708
"304","ENST00000555458","14",104770747,104770765
"305","ENST00000554192","14",104770747,104770765
"306","ENST00000544168","14",104770747,104770765
"307","ENST00000554848","14",104770747,104770765
"308","ENST00000402615","14",104770747,104770765
"309","ENST00000555528","14",104770747,104770765
"310","ENST00000349310","14",104770747,104770765
"311","ENST00000553506","14",104770747,104770765
"312","ENST00000407796","14",104770747,104770765
"313","ENST00000610370","14",104770747,104770765
"314","ENST00000557552","14",104770747,104770765
"315","ENST00000554585","14",104770747,104770765
"316","ENST00000554581","14",104770747,104770765
"317","ENST00000555458","14",104769510,104769528
"318","ENST00000402615","14",104769510,104769528
"319","ENST00000555528","14",104769510,104769528
"320","ENST00000349310","14",104769510,104769528
"321","ENST00000553506","14",104769510,104769528
"322","ENST00000407796","14",104769510,104769528
"323","ENST00000610370","14",104769510,104769528
"324","ENST00000557552","14",104769510,104769528
"325","ENST00000554581","14",104769510,104769528
"326","ENST00000554192","14",104770150,104770168
"327","ENST00000402615","14",104770150,104770168
"328","ENST00000555528","14",104770150,104770168
"329","ENST00000349310","14",104770150,104770168
"330","ENST00000553506","14",104770150,104770168
"331","ENST00000407796","14",104770150,104770168
"332","ENST00000610370","14",104770150,104770168
"333","ENST00000557552","14",104770150,104770168
"334","ENST00000554581","14",104770150,104770168
"335","ENST00000544168","14",104775771,104775789
"336","ENST00000554826","14",104775771,104775789
"337","ENST00000554848","14",104775771,104775789
"338","ENST00000555380","14",104775771,104775789
"339","ENST00000402615","14",104775771,104775789
"340","ENST00000555528","14",104775771,104775789
"341","ENST00000349310","14",104775771,104775789
"342","ENST00000407796","14",104775771,104775789
"343","ENST00000557552","14",104775771,104775789
"344","ENST00000554581","14",104775771,104775789
"345","ENST00000554192","14",104769977,104769995
"346","ENST00000402615","14",104769977,104769995
"347","ENST00000555528","14",104769977,104769995
"348","ENST00000349310","14",104769977,104769995
"349","ENST00000553506","14",104769977,104769995
"350","ENST00000407796","14",104769977,104769995
"351","ENST00000610370","14",104769977,104769995
"352","ENST00000557552","14",104769977,104769995
"353","ENST00000554581","14",104769977,104769995
"354","ENST00000554848","14",104780150,104780168
"355","ENST00000555380","14",104780150,104780168
"356","ENST00000402615","14",104780150,104780168
"357","ENST00000555926","14",104780150,104780168
"358","ENST00000555528","14",104780150,104780168
"359","ENST00000349310","14",104780150,104780168
"360","ENST00000407796","14",104780150,104780168
"361","ENST00000554581","14",104780150,104780168
"362","ENST00000554192","14",104769973,104769991
"363","ENST00000402615","14",104769973,104769991
"364","ENST00000555528","14",104769973,104769991
"365","ENST00000349310","14",104769973,104769991
"366","ENST00000553506","14",104769973,104769991
"367","ENST00000407796","14",104769973,104769991
"368","ENST00000610370","14",104769973,104769991
"369","ENST00000557552","14",104769973,104769991
"370","ENST00000554581","14",104769973,104769991
"371","ENST00000402615","14",104793201,104793219
"372","ENST00000555926","14",104793201,104793219
"373","ENST00000555528","14",104793201,104793219
"374","ENST00000557494","14",104793201,104793219
"375","ENST00000554581","14",104793201,104793219
"376","ENST00000402615","14",104793158,104793176
"377","ENST00000555926","14",104793158,104793176
"378","ENST00000555528","14",104793158,104793176
"379","ENST00000349310","14",104793158,104793176
"380","ENST00000557494","14",104793158,104793176
"381","ENST00000554581","14",104793158,104793176
"382","ENST00000554192","14",104770145,104770163
"383","ENST00000402615","14",104770145,104770163
"384","ENST00000555528","14",104770145,104770163
"385","ENST00000349310","14",104770145,104770163
"386","ENST00000553506","14",104770145,104770163
"387","ENST00000407796","14",104770145,104770163
"388","ENST00000610370","14",104770145,104770163
"389","ENST00000557552","14",104770145,104770163
"390","ENST00000554581","14",104770145,104770163
"391","ENST00000556836","14",104775079,104775097
"392","ENST00000544168","14",104775079,104775097
"393","ENST00000554826","14",104775079,104775097
"394","ENST00000554848","14",104775079,104775097
"395","ENST00000402615","14",104775079,104775097
"396","ENST00000555528","14",104775079,104775097
"397","ENST00000349310","14",104775079,104775097
"398","ENST00000407796","14",104775079,104775097
"399","ENST00000557552","14",104775079,104775097
"400","ENST00000554581","14",104775079,104775097
"401","ENST00000544168","14",104773536,104773554
"402","ENST00000554848","14",104773536,104773554
"403","ENST00000402615","14",104773536,104773554
"404","ENST00000555528","14",104773536,104773554
"405","ENST00000349310","14",104773536,104773554
"406","ENST00000553506","14",104773536,104773554
"407","ENST00000407796","14",104773536,104773554
"408","ENST00000557552","14",104773536,104773554
"409","ENST00000554581","14",104773536,104773554
"410","ENST00000554192","14",104773473,104773491
"411","ENST00000544168","14",104773473,104773491
"412","ENST00000554848","14",104773473,104773491
"413","ENST00000402615","14",104773473,104773491
"414","ENST00000555528","14",104773473,104773491
"415","ENST00000349310","14",104773473,104773491
"416","ENST00000553506","14",104773473,104773491
"417","ENST00000407796","14",104773473,104773491
"418","ENST00000557552","14",104773473,104773491
"419","ENST00000554581","14",104773473,104773491
"420","ENST00000402615","14",104769837,104769855
"421","ENST00000555528","14",104769837,104769855
"422","ENST00000349310","14",104769837,104769855
"423","ENST00000553506","14",104769837,104769855
"424","ENST00000407796","14",104769837,104769855
"425","ENST00000610370","14",104769837,104769855
"426","ENST00000557552","14",104769837,104769855
"427","ENST00000554581","14",104769837,104769855
"428","ENST00000556836","14",104775157,104775175
"429","ENST00000544168","14",104775157,104775175
"430","ENST00000554826","14",104775157,104775175
"431","ENST00000554848","14",104775157,104775175
"432","ENST00000555380","14",104775157,104775175
"433","ENST00000402615","14",104775157,104775175
"434","ENST00000555528","14",104775157,104775175
"435","ENST00000349310","14",104775157,104775175
"436","ENST00000407796","14",104775157,104775175
"437","ENST00000557552","14",104775157,104775175
"438","ENST00000554581","14",104775157,104775175
"439","ENST00000555458","14",104770827,104770845
"440","ENST00000554192","14",104770827,104770845
"441","ENST00000544168","14",104770827,104770845
"442","ENST00000554848","14",104770827,104770845
"443","ENST00000402615","14",104770827,104770845
"444","ENST00000555528","14",104770827,104770845
"445","ENST00000349310","14",104770827,104770845
"446","ENST00000553506","14",104770827,104770845
"447","ENST00000407796","14",104770827,104770845
"448","ENST00000610370","14",104770827,104770845
"449","ENST00000557552","14",104770827,104770845
"450","ENST00000554585","14",104770827,104770845
"451","ENST00000554581","14",104770827,104770845
"452","ENST00000555458","14",104770791,104770809
"453","ENST00000554192","14",104770791,104770809
"454","ENST00000544168","14",104770791,104770809
"455","ENST00000554848","14",104770791,104770809
"456","ENST00000402615","14",104770791,104770809
"457","ENST00000555528","14",104770791,104770809
"458","ENST00000349310","14",104770791,104770809
"459","ENST00000553506","14",104770791,104770809
"460","ENST00000407796","14",104770791,104770809
"461","ENST00000610370","14",104770791,104770809
"462","ENST00000557552","14",104770791,104770809
"463","ENST00000554585","14",104770791,104770809
"464","ENST00000554581","14",104770791,104770809
"465","ENST00000555458","14",104769556,104769574
"466","ENST00000402615","14",104769556,104769574
"467","ENST00000555528","14",104769556,104769574
"468","ENST00000349310","14",104769556,104769574
"469","ENST00000553506","14",104769556,104769574
"470","ENST00000407796","14",104769556,104769574
"471","ENST00000610370","14",104769556,104769574
"472","ENST00000557552","14",104769556,104769574
"473","ENST00000554581","14",104769556,104769574
"474","ENST00000402615","14",104769933,104769951
"475","ENST00000555528","14",104769933,104769951
"476","ENST00000349310","14",104769933,104769951
"477","ENST00000553506","14",104769933,104769951
"478","ENST00000407796","14",104769933,104769951
"479","ENST00000610370","14",104769933,104769951
"480","ENST00000557552","14",104769933,104769951
"481","ENST00000554581","14",104769933,104769951
"482","ENST00000555458","14",104769418,104769436
"483","ENST00000402615","14",104769418,104769436
"484","ENST00000555528","14",104769418,104769436
"485","ENST00000349310","14",104769418,104769436
"486","ENST00000553506","14",104769418,104769436
"487","ENST00000407796","14",104769418,104769436
"488","ENST00000610370","14",104769418,104769436
"489","ENST00000557552","14",104769418,104769436
"490","ENST00000554581","14",104769418,104769436
"491","ENST00000554192","14",104770293,104770311
"492","ENST00000544168","14",104770293,104770311
"493","ENST00000402615","14",104770293,104770311
"494","ENST00000555528","14",104770293,104770311
"495","ENST00000349310","14",104770293,104770311
"496","ENST00000553506","14",104770293,104770311
"497","ENST00000407796","14",104770293,104770311
"498","ENST00000610370","14",104770293,104770311
"499","ENST00000557552","14",104770293,104770311
"500","ENST00000554585","14",104770293,104770311
"501","ENST00000554581","14",104770293,104770311
"502","ENST00000554192","14",104770225,104770243
"503","ENST00000544168","14",104770225,104770243
"504","ENST00000402615","14",104770225,104770243
"505","ENST00000555528","14",104770225,104770243
"506","ENST00000349310","14",104770225,104770243
"507","ENST00000553506","14",104770225,104770243
"508","ENST00000407796","14",104770225,104770243
"509","ENST00000610370","14",104770225,104770243
"510","ENST00000557552","14",104770225,104770243
"511","ENST00000554585","14",104770225,104770243
"512","ENST00000554581","14",104770225,104770243
"513","ENST00000486368","19",40265227,40265245
"514","ENST00000452077","19",40265227,40265245
"515","ENST00000456441","19",40265227,40265245
"516","ENST00000392038","19",40265277,40265295
"517","ENST00000392037","19",40265227,40265245
"518","ENST00000423127","19",40265227,40265245
"519","ENST00000596634","19",40265227,40265245
"520","ENST00000416994","19",40265227,40265245
"521","ENST00000427375","19",40265227,40265245
"522","ENST00000358335","19",40265227,40265245
"523","ENST00000583859","19",40265227,40265245
"524","ENST00000441941","19",40265227,40265245
"525","ENST00000578123","19",40265227,40265245
"526","ENST00000416362","19",40265227,40265245
"527","ENST00000537834","19",40265227,40265245
"528","ENST00000311278","19",40265227,40265245
"529","ENST00000424901","19",40265227,40265245
"530","ENST00000580747","19",40265227,40265245
"531","ENST00000601166","19",40240054,40240072
"532","ENST00000480878","19",40240054,40240072
"533","ENST00000392038","19",40241937,40241949
"534","ENST00000392038","19",40240104,40240110
"535","ENST00000391845","19",40240054,40240072
"536","ENST00000492463","19",40240054,40240072
"537","ENST00000579047","19",40240054,40240072
"538","ENST00000584288","19",40240054,40240072
"539","ENST00000476266","19",40240054,40240072
"540","ENST00000537834","19",40240054,40240072
"541","ENST00000311278","19",40240054,40240072
"542","ENST00000391844","19",40240054,40240072
"543","ENST00000424901","19",40240054,40240072
"544","ENST00000483166","19",40235285,40235303
"545","ENST00000392038","19",40235889,40235892
"546","ENST00000392038","19",40235335,40235350
"547","ENST00000579047","19",40235285,40235303
"548","ENST00000584288","19",40235285,40235303
"549","ENST00000476266","19",40235285,40235303
"550","ENST00000489375","19",40235285,40235303
"551","ENST00000497948","19",40235285,40235303
"552","ENST00000311278","19",40235285,40235303
"553","ENST00000391844","19",40235285,40235303
"554","ENST00000496089","19",40235285,40235303
"555","ENST00000424901","19",40235285,40235303
"556","ENST00000476247","19",40235285,40235303
"557","ENST00000486368","19",40242533,40242547
"558","ENST00000486368","19",40242065,40242069
"559","ENST00000601166","19",40242533,40242547
"560","ENST00000601166","19",40242065,40242069
"561","ENST00000491778","19",40242533,40242547
"562","ENST00000491778","19",40242065,40242069
"563","ENST00000578615","19",40237977,40237995
"564","ENST00000392038","19",40242579,40242597
"565","ENST00000492463","19",40242533,40242547
"566","ENST00000492463","19",40242065,40242069
"567","ENST00000487537","19",40241785,40241803
"568","ENST00000579047","19",40242533,40242547
"569","ENST00000579047","19",40242065,40242069
"570","ENST00000584288","19",40242533,40242547
"571","ENST00000584288","19",40242065,40242069
"572","ENST00000476266","19",40242533,40242547
"573","ENST00000476266","19",40242065,40242069
"574","ENST00000596634","19",40242533,40242547
"575","ENST00000596634","19",40242065,40242069
"576","ENST00000441941","19",40242533,40242547
"577","ENST00000441941","19",40242065,40242069
"578","ENST00000537834","19",40242533,40242547
"579","ENST00000537834","19",40242065,40242069
"580","ENST00000311278","19",40242533,40242547
"581","ENST00000311278","19",40242065,40242069
"582","ENST00000391844","19",40242533,40242547
"583","ENST00000391844","19",40242065,40242069
"584","ENST00000424901","19",40242533,40242547
"585","ENST00000424901","19",40242065,40242069
"586","ENST00000486368","19",40256928,40256946
"587","ENST00000491778","19",40256928,40256946
"588","ENST00000578615","19",40242027,40242045
"589","ENST00000452077","19",40256928,40256946
"590","ENST00000456441","19",40256928,40256946
"591","ENST00000392038","19",40256978,40256996
"592","ENST00000392037","19",40256928,40256946
"593","ENST00000423127","19",40256928,40256946
"594","ENST00000492463","19",40256928,40256946
"595","ENST00000487537","19",40242533,40242540
"596","ENST00000487537","19",40242058,40242069
"597","ENST00000579047","19",40256928,40256946
"598","ENST00000584288","19",40256928,40256946
"599","ENST00000596634","19",40256928,40256946
"600","ENST00000416994","19",40256928,40256946
"601","ENST00000427375","19",40256928,40256946
"602","ENST00000358335","19",40256928,40256946
"603","ENST00000583859","19",40256928,40256946
"604","ENST00000441941","19",40256928,40256946
"605","ENST00000578123","19",40256928,40256946
"606","ENST00000416362","19",40256928,40256946
"607","ENST00000537834","19",40256928,40256946
"608","ENST00000311278","19",40256928,40256946
"609","ENST00000391844","19",40256928,40256946
"610","ENST00000424901","19",40256928,40256946
"611","ENST00000580747","19",40256928,40256946
"612","ENST00000486368","19",40242546,40242564
"613","ENST00000601166","19",40242546,40242564
"614","ENST00000491778","19",40242546,40242564
"615","ENST00000578615","19",40237994,40238012
"616","ENST00000392038","19",40242596,40242614
"617","ENST00000492463","19",40242546,40242564
"618","ENST00000487537","19",40241802,40241820
"619","ENST00000579047","19",40242546,40242564
"620","ENST00000584288","19",40242546,40242564
"621","ENST00000476266","19",40242546,40242564
"622","ENST00000596634","19",40242546,40242564
"623","ENST00000441941","19",40242546,40242564
"624","ENST00000537834","19",40242546,40242564
"625","ENST00000311278","19",40242546,40242564
"626","ENST00000578975","19",40242546,40242564
"627","ENST00000391844","19",40242546,40242564
"628","ENST00000424901","19",40242546,40242564
"629","ENST00000483166","19",40235314,40235332
"630","ENST00000392038","19",40235903,40235921
"631","ENST00000579047","19",40235314,40235332
